Sep=,
Title,Score,Release Year, Major Cast, Link to movie
Black Panther: Wakanda Forever,84,2022,Letitia Wright|Angela Bassett|Lupita Nyong'o,https://www.rottentomatoes.com/m/black_panther_wakanda_forever
Black Panther,96,2018,Chadwick Boseman|Michael B. Jordan|Lupita Nyong'o,https://www.rottentomatoes.com/m/black_panther_2018
Black Panther Woman,-,2014,-,https://www.rottentomatoes.com/m/black_panther_woman
Black Panther,-,1977,Donald Sumpter|Debbie Farrington|Marjorie Yates,https://www.rottentomatoes.com/m/black_panther
Black Panthers,-,1968,Stokely Carmichael|Eldridge Cleaver|Kathleen Cleaver,https://www.rottentomatoes.com/m/huey_1968
